feature,coefficient
t-2_day,0.15035633577533414
t-2_lag_1,1.2521073768270352
t-2_rolling_mean,-0.7490704327674094
t-1_dish washer,0.5303652294458095
t-1_electric stove,0.5565167641544613
t-1_fridge,-0.5993614178640482
t-1_microwave,-0.7967067470202537
t-1_washer dryer,0.7468106837892643
t-1_hour,0.14150964621853257
t-1_day,0.6784843806515808
t-1_lag_1,0.7564424021224172
t-1_rolling_mean,0.7197726261314332
t-0_dish washer,-0.12619943745934403
t-0_electric stove,-0.030134977018508702
t-0_fridge,-1.1970933236044092
t-0_microwave,0.6640194909533761
t-0_washer dryer,0.8830461768727498
t-0_hour,0.4250941971513458
t-0_day,-0.6766717881680574
t-0_lag_1,-0.27704407499257
t-0_rolling_mean,0.708385357444111
